[1321563087.8145, '58']
[1321563087.832291, '59']
[1321563087.84993, '59']
[1321563087.8676, '59']
[1321563087.885239, '157']
[1321563087.903031, '156']
[1321563087.920792, '157']
[1321563087.938523, '157']
[1321563087.956284, '156']
[1321563087.973984, '155']
[1321563088.024857, '59']
[1321563088.042771, '58']
[1321563088.060532, '61']
[1321563088.078355, '55']
[1321563088.096055, '58']
[1321563088.113969, '57']
[1321563088.131669, '59']
[1321563088.149369, '59']
[1321563088.167222, '59']
[1321563088.184983, '59']
[1321563088.202714, '156']
[1321563088.220505, '157']
[1321563088.238267, '156']
[1321563088.256058, '157']
[1321563088.27382, '156']
[1321563088.29152, '158']
[1321563088.342911, '60']
[1321563088.360581, '59']
[1321563088.378403, '60']
[1321563088.396073, '59']
[1321563088.413743, '58']
[1321563088.431473, '60']
[1321563088.449174, '58']
[1321563088.466843, '59']
[1321563088.484513, '58']
[1321563088.502213, '59']
[1321563088.520066, '157']
[1321563088.537827, '157']
[1321563088.555466, '158']
[1321563088.573228, '155']
[1321563088.590928, '156']
[1321563088.608628, '158']
[1321563088.656907, '58']
[1321563088.674729, '58']
[1321563088.692521, '61']
[1321563088.710343, '59']
[1321563088.727952, '58']
[1321563088.745743, '59']
[1321563088.763505, '58']
[1321563088.781327, '59']
[1321563088.799088, '59']
[1321563088.816941, '59']
[1321563088.834702, '157']
[1321563088.852402, '157']
[1321563088.870225, '157']
[1321563088.888016, '157']
[1321563088.905839, '157']
[1321563088.9236, '155']
[1321563088.941392, '156']
[1321563088.992722, '61']
[1321563089.010483, '59']
[1321563089.028336, '58']
[1321563089.045975, '62']
[1321563089.063645, '58']
[1321563089.081437, '57']
[1321563089.099229, '60']
[1321563089.116868, '57']
[1321563089.134568, '61']
[1321563089.152238, '114']
[1321563089.169968, '156']
[1321563089.187668, '157']
[1321563089.205399, '157']
[1321563089.223252, '157']
[1321563089.240922, '157']
[1321563089.258591, '155']
[1321563089.310136, '58']
[1321563089.327805, '59']
[1321563089.345566, '59']
[1321563089.363328, '60']
[1321563089.381089, '61']
[1321563089.398759, '57']
[1321563089.416459, '61']
[1321563089.434251, '61']
[1321563089.45192, '60']
[1321563089.46962, '57']
[1321563089.487565, '158']
[1321563089.505295, '158']
[1321563089.523026, '157']
[1321563089.540665, '159']
[1321563089.558396, '156']
[1321563089.576157, '159']
[1321563089.627396, '58']
[1321563089.645219, '59']
[1321563089.662858, '59']
[1321563089.680649, '61']
[1321563089.698441, '57']
[1321563089.716111, '57']
[1321563089.733781, '57']
[1321563089.75142, '58']
[1321563089.76915, '61']
[1321563089.786881, '58']
[1321563089.804581, '158']
[1321563089.822282, '158']
[1321563089.840195, '158']
[1321563089.857926, '159']
[1321563089.875687, '157']
[1321563089.893479, '158']
[1321563089.944657, '60']
[1321563089.962327, '59']
[1321563089.980149, '58']
[1321563089.997971, '60']
[1321563090.015702, '60']
[1321563090.033402, '61']
[1321563090.051224, '58']
[1321563090.069169, '60']
[1321563090.086899, '57']
[1321563090.104661, '59']
[1321563090.122361, '158']
[1321563090.140092, '159']
[1321563090.157792, '158']
[1321563090.175584, '156']
[1321563090.193314, '159']
[1321563090.211106, '157']
[1321563090.259782, '58']
[1321563090.277604, '60']
[1321563090.295273, '60']
[1321563090.312943, '58']
[1321563090.330643, '59']
[1321563090.348435, '58']
[1321563090.366105, '58']
[1321563090.383744, '57']
[1321563090.401505, '57']
[1321563090.419205, '60']
[1321563090.436906, '157']
[1321563090.454606, '158']
[1321563090.472397, '158']
[1321563090.490128, '159']
[1321563090.507706, '157']
[1321563090.525529, '156']
[1321563090.543351, '158']
[1321563090.594559, '59']
[1321563090.612382, '57']
[1321563090.630051, '59']
[1321563090.647751, '60']
[1321563090.665513, '56']
[1321563090.683274, '58']
[1321563090.700913, '56']
[1321563090.718583, '58']
[1321563090.736252, '60']
[1321563090.754044, '137']
[1321563090.771744, '157']
[1321563090.789475, '157']
[1321563090.807297, '158']
[1321563090.82515, '158']
[1321563090.84285, '157']
[1321563090.860642, '157']
[1321563090.912095, '61']
[1321563090.929795, '58']
[1321563090.947495, '60']
[1321563090.965409, '57']
[1321563090.983262, '60']
[1321563091.000962, '60']
[1321563091.018845, '62']
[1321563091.036576, '59']
[1321563091.054429, '57']
[1321563091.072098, '58']
[1321563091.089921, '156']
[1321563091.10759, '156']
[1321563091.125382, '156']
[1321563091.143082, '157']
[1321563091.160874, '157']
[1321563091.178574, '155']
[1321563091.229783, '61']
[1321563091.247574, '59']
[1321563091.265244, '60']
[1321563091.282853, '60']
[1321563091.300584, '58']
[1321563091.318345, '57']
[1321563091.335953, '59']
[1321563091.353593, '61']
[1321563091.371293, '60']
[1321563091.388993, '58']
[1321563091.406632, '157']
[1321563091.424271, '157']
[1321563091.442216, '156']
[1321563091.459855, '157']
[1321563091.477494, '155']
[1321563091.495225, '157']
[1321563091.546281, '60']
[1321563091.563828, '60']
[1321563091.581528, '59']
[1321563091.599198, '59']
[1321563091.616837, '59']
[1321563091.634568, '56']
[1321563091.652268, '61']
[1321563091.669907, '59']
[1321563091.687577, '61']
[1321563091.705186, '59']
[1321563091.722977, '157']
[1321563091.740739, '157']
[1321563091.758408, '157']
[1321563091.776078, '155']
[1321563091.79387, '156']
[1321563091.811478, '157']
[1321563091.860123, '59']
[1321563091.877885, '61']
[1321563091.895463, '58']
[1321563091.913132, '59']
[1321563091.93068, '57']
[1321563091.94838, '60']
[1321563091.966019, '57']
[1321563091.983658, '58']
[1321563092.001298, '58']
[1321563092.019059, '61']
[1321563092.036729, '157']
[1321563092.054368, '157']
[1321563092.072007, '157']
[1321563092.089646, '156']
[1321563092.107377, '156']
[1321563092.125016, '156']
[1321563092.142716, '156']
[1321563092.193741, '61']
[1321563092.211381, '60']
[1321563092.229172, '56']
[1321563092.246812, '61']
[1321563092.264451, '59']
[1321563092.282029, '60']
[1321563092.29976, '59']
[1321563092.317338, '58']
[1321563092.334977, '59']
[1321563092.352769, '58']
[1321563092.370438, '157']
[1321563092.388047, '157']
[1321563092.405717, '157']
[1321563092.423478, '157']
[1321563092.441178, '157']
[1321563092.458848, '156']
[1321563092.509904, '61']
[1321563092.527665, '61']
[1321563092.545304, '60']
[1321563092.562943, '56']
[1321563092.580613, '60']
[1321563092.598344, '59']
[1321563092.616166, '58']
[1321563092.633683, '57']
[1321563092.651597, '58']
[1321563092.669297, '59']
[1321563092.686936, '158']
[1321563092.704575, '157']
[1321563092.722306, '156']
[1321563092.739976, '158']
[1321563092.757645, '158']
[1321563092.775254, '156']
[1321563092.826554, '58']
[1321563092.844132, '61']
[1321563092.861832, '60']
[1321563092.879594, '63']
[1321563092.897294, '60']
[1321563092.914933, '58']
[1321563092.932755, '59']
[1321563092.950455, '58']
[1321563092.968156, '58']
[1321563092.985886, '62']
[1321563093.003739, '157']
[1321563093.021409, '158']
[1321563093.039078, '157']
[1321563093.056779, '155']
[1321563093.07457, '156']
[1321563093.092301, '158']
[1321563093.109971, '156']
