[1321549144.767426, '163']
[1321549144.784547, '163']
[1321549144.801484, '161']
[1321549144.818726, '164']
[1321549144.835755, '109']
[1321549144.882478, '54']
[1321549144.899415, '54']
[1321549144.916505, '56']
[1321549144.933381, '54']
[1321549144.95044, '57']
[1321549144.967347, '55']
[1321549144.984498, '56']
[1321549145.001405, '56']
[1321549145.018464, '58']
[1321549145.035401, '54']
[1321549145.052461, '55']
[1321549145.069398, '162']
[1321549145.08661, '162']
[1321549145.103547, '163']
[1321549145.120728, '160']
[1321549145.137605, '163']
[1321549145.154694, '163']
[1321549145.171693, '163']
[1321549145.22107, '57']
[1321549145.238038, '57']
[1321549145.255158, '56']
[1321549145.272096, '56']
[1321549145.289216, '56']
[1321549145.306153, '57']
[1321549145.323243, '55']
[1321549145.340211, '58']
[1321549145.35724, '55']
[1321549145.374146, '54']
[1321549145.391389, '163']
[1321549145.408265, '162']
[1321549145.425446, '162']
[1321549145.442384, '162']
[1321549145.459443, '165']
[1321549145.476594, '68']
[1321549145.523194, '56']
[1321549145.540101, '56']
[1321549145.55716, '56']
[1321549145.574098, '56']
[1321549145.591126, '56']
[1321549145.608125, '57']
[1321549145.625367, '53']
[1321549145.642335, '54']
[1321549145.659486, '55']
[1321549145.676423, '55']
[1321549145.693482, '57']
[1321549145.710603, '162']
[1321549145.727754, '162']
[1321549145.74466, '163']
[1321549145.76175, '161']
[1321549145.778687, '162']
[1321549145.795838, '163']
[1321549145.842469, '55']
[1321549145.859742, '55']
[1321549145.876649, '52']
[1321549145.893861, '55']
[1321549145.910798, '54']
[1321549145.927979, '55']
[1321549145.945039, '56']
[1321549145.962159, '56']
[1321549145.979127, '53']
[1321549145.996217, '58']
[1321549146.013184, '56']
[1321549146.030274, '164']
[1321549146.047456, '164']
[1321549146.064607, '164']
[1321549146.081635, '161']
[1321549146.098695, '163']
[1321549146.115754, '164']
[1321549146.132996, '165']
[1321549146.182191, '54']
[1321549146.199311, '55']
[1321549146.216309, '55']
[1321549146.23346, '56']
[1321549146.250642, '57']
[1321549146.267793, '55']
[1321549146.284821, '53']
[1321549146.301942, '55']
[1321549146.31894, '55']
[1321549146.336274, '56']
[1321549146.353272, '163']
[1321549146.370393, '163']
[1321549146.387391, '163']
[1321549146.404542, '164']
[1321549146.421662, '164']
[1321549146.438783, '163']
[1321549146.485536, '56']
[1321549146.502656, '56']
[1321549146.519624, '55']
[1321549146.536683, '57']
[1321549146.553681, '58']
[1321549146.570954, '57']
[1321549146.587922, '57']
[1321549146.605042, '54']
[1321549146.62201, '57']
[1321549146.639069, '54']
[1321549146.65619, '54']
[1321549146.67331, '164']
[1321549146.690339, '163']
[1321549146.707459, '163']
[1321549146.724427, '165']
[1321549146.741517, '164']
[1321549146.758515, '163']
[1321549146.805543, '54']
[1321549146.822663, '54']
[1321549146.83957, '56']
[1321549146.85666, '54']
[1321549146.873536, '54']
[1321549146.890656, '55']
[1321549146.907533, '54']
[1321549146.924653, '55']
[1321549146.94159, '53']
[1321549146.958711, '56']
[1321549146.975587, '53']
[1321549146.992829, '164']
[1321549147.009736, '163']
[1321549147.026826, '163']
[1321549147.043702, '162']
[1321549147.060792, '165']
[1321549147.077729, '135']
[1321549147.124391, '52']
[1321549147.141419, '57']
[1321549147.158601, '58']
